"system_type","name","description","interconnected_parts"
"Braking System","Brake Caliper Guide Pin/Bolt","Allows caliper to slide relative to bracket","Brake Caliper, Caliper Bracket, Dust Boots"
"Fuel System","Fuel Injector O-Ring","Seals fuel injector to fuel rail/intake manifold","Fuel Injector, Fuel Rail, Intake Manifold"
"Cooling System","Coolant Bleeder Screw","Allows air to be purged from cooling system","Thermostat Housing/Highest Point in System"
"Suspension System","MacPherson Strut","Type of suspension unit combining spring and damper","Steering Knuckle, Strut Mount, Chassis"
"Electrical System","Battery Hold-Down Clamp/Bracket","Secures battery in place","Battery Tray, Battery, Chassis"
"Steering System","Power Steering Pressure Switch/Sensor","Signals ECU/pump when steering assistance is needed","Power Steering Line/Pump, ECU, Wiring"
"Exhaust System","Exhaust Clamp","Secures sections of exhaust pipe together","Exhaust Pipes, Muffler, Resonator"
"Engine","Valve Stem Seal","Prevents oil from leaking down valve stem","Valve Stem, Valve Guide, Cylinder Head"
"Transmission System","Shift Interlock Solenoid","Prevents shifting out of Park without brake pedal applied","Shifter Assembly, Brake Light Switch Signal, TCM/BCM"
"Braking System","Parking Brake Equalizer","Distributes pulling force evenly to rear brake cables","Main Parking Brake Cable, Rear Cables"
"Fuel System","Fuel Pump Strainer / Sock","Pre-filter attached to fuel pump inlet","Fuel Pump, Fuel Tank"
"Cooling System","Heater Core Hose Connector/Fitting","Connects heater hoses to heater core/engine","Heater Hose, Heater Core, Firewall/Engine Block"
"Suspension System","Body Mount Bushing","Isolates vehicle body from frame (body-on-frame)","Chassis Frame, Vehicle Body"
"Electrical System","Power Window Switch","Controls operation of power window motor","Door Panel, Wiring, BCM/Window Motor"
"Safety System","Side Airbag","Airbag deploying from seat or door panel","Seat/Door Panel, Inflator Module, Crash Sensor, SRS Module"
"Body/Chassis","Door Panel","Interior trim covering inner door structure","Window Switch, Door Handle, Speaker, Armrest"
"Interior","Sun Visor","Adjustable flap blocking sunlight","Headliner, Pivot Mount, Mirror (sometimes)"
"Engine","Oil Pressure Sensor/Switch","Monitors engine oil pressure","Engine Block Oil Gallery, ECU/Gauge, Wiring"
"Transmission System","Transmission Cooler Lines","Carry ATF to and from the radiator/external cooler","Transmission Case, Radiator/External Cooler, Fittings"
"Braking System","Brake Rotor Set Screw","Small screw holding rotor to hub during assembly","Brake Rotor, Wheel Hub"
"Fuel System","Fuel Filler Hose","Connects filler neck to fuel tank","Fuel Filler Neck, Fuel Tank, Clamps"
"Cooling System","Water Pump Gasket","Seals water pump to engine block","Water Pump, Engine Block"
"Suspension System","Caster Adjustment","Alignment angle affecting steering stability/effort","Control Arm Mounts, Shims/Cams"
"Electrical System","Fog Light Switch","Controls operation of fog lights","Dashboard/Steering Column Stalk, BCM/Relay, Wiring"
"Steering System","Power Steering Cooler","Heat exchanger cooling power steering fluid","Power Steering Lines, Radiator/Airflow Area"
"Exhaust System","Muffler Clamp","Secures muffler inlet/outlet pipes","Muffler, Exhaust Pipes"
"Engine","Connecting Rod Bearing","Allows smooth rotation of connecting rod on crankshaft","Connecting Rod Big End, Crankshaft Rod Journal"
"Transmission System","Differential Pinion Seal","Seals driveshaft yoke connection point","Differential Housing, Pinion Yoke/Flange, Driveshaft"
"Braking System","Brake Caliper Dust Boot","Protects caliper piston from dirt/moisture","Brake Caliper Piston, Caliper Bore"
"Fuel System","Fuel Return Line","Carries excess fuel back to tank (some systems)","Fuel Pressure Regulator, Fuel Tank"
"Cooling System","Thermostat Gasket/Seal","Seals thermostat housing components","Thermostat, Thermostat Housing"
"Suspension System","Toe Adjustment","Alignment angle affecting tire wear/handling","Tie Rod Ends, Adjusting Sleeves"
"Electrical System","License Plate Light","Illuminates rear license plate","Bulb/LED, Housing, Wiring, BCM/Switch"
"Safety System","Curtain Airbag","Airbag deploying from roofline for side impact/rollover","Headliner, Inflator Module, Crash/Rollover Sensor, SRS Module"
"Body/Chassis","Windshield","Front window of vehicle","Body Frame (A-pillars, Roof, Cowl), Sealant/Gasket, Wiper Blades"
"Interior","Rearview Mirror","Interior mirror for viewing behind vehicle","Windshield Mount/Headliner Mount, Glass"
"Engine","Crankshaft Pulley Bolt / Harmonic Balancer Bolt","Secures pulley/balancer to crankshaft","Crankshaft Snout, Harmonic Balancer/Pulley"
"Transmission System","Transmission Fluid Dipstick","Used to check automatic transmission fluid level","Dipstick Tube, Transmission Case"
"Braking System","Drum Brake Adjuster","Mechanism adjusting brake shoe clearance","Backing Plate, Brake Shoes, Star Wheel"
"Fuel System","Accelerator Pedal Position Sensor (APPS)","Sends electronic signal based on pedal position","Accelerator Pedal Assembly, ECU, Wiring"
"Cooling System","Radiator Insulator/Mount Bushing","Isolates radiator from vibration","Radiator, Radiator Support"
"Suspension System","Camber Adjustment Bolt (Crash Bolt)","Eccentric bolt allowing camber adjustment","Strut-to-Knuckle Mount"
"Electrical System","Hazard Light Switch/Flasher","Activates all turn signals simultaneously","Dashboard/Steering Column, Flasher Relay/BCM, Wiring"
"Steering System","Steering Shaft Universal Joint","Flexible joint in steering shaft","Steering Shaft Sections"
"Exhaust System","Exhaust Manifold Gasket","Seals exhaust manifold to cylinder head","Exhaust Manifold Flange, Cylinder Head Port"
"Engine","Oil Drain Plug Gasket/Washer","Seals oil drain plug","Oil Pan, Oil Drain Plug"
"Transmission System","Differential Axle Seal","Seals axle shaft connection point","Differential Housing/Axle Tube, Axle Shaft"
"Braking System","Drum Brake Spring Kit","Holds brake shoes and related hardware","Backing Plate, Brake Shoes, Adjuster"
"Fuel System","Fuel Pressure Sensor","Measures pressure in the fuel rail","Fuel Rail, ECU, Wiring"
"Cooling System","Engine Coolant Temperature (ECT) Sensor","Primary sensor for coolant temperature (for ECU)","Engine Block/Head Coolant Passage, ECU, Wiring"
"Suspension System","Coil Spring Insulator/Isolator","Rubber/urethane pad isolating spring","Coil Spring, Spring Seat (Control Arm/Chassis/Strut)"
"Electrical System","Speaker","Converts electrical audio signals to sound waves","Radio/Amplifier Output, Wiring, Door Panel/Dashboard Mount"
"Safety System","Seat Belt Retractor","Mechanism winding/locking seat belt webbing","Seat Belt Webbing, Pillar/Seat Mount, Locking Mechanism"
"Body/Chassis","Fender","Body panel covering wheel area","Unibody/Frame, Bumper, Hood, A-Pillar"
"Interior","Headliner","Fabric covering interior roof","Roof Panel, Sun Visors, Dome Light, Grab Handles"
"Engine","Camshaft Bearing","Supports the rotating camshaft(s)","Cylinder Head/Engine Block, Camshaft Journals"
"Transmission System","Park/Neutral Position Switch","Signals gear selector position to ECU/TCM","Transmission Case/Shifter Linkage, ECU/TCM, Starter Circuit"
"Braking System","Master Cylinder Reservoir Cap","Seals brake fluid reservoir","Master Cylinder Reservoir"
"Fuel System","Fuel Injector Pintle Cap","Protective cap on injector nozzle","Fuel Injector Tip"
"Cooling System","Water Inlet/Outlet Neck","Fitting on engine block/head for coolant hoses","Engine Block/Head, Coolant Hose"
"Suspension System","Sway Bar Bushing","Isolates sway bar from chassis mounts","Sway Bar, Chassis Frame Bracket"
"Electrical System","Third Brake Light (CHMSL)","Center High Mounted Stop Lamp","Bulb/LED Assembly, Rear Window/Trunk Lid, Wiring, Brake Light Switch"
"Steering System","Steering Knuckle Arm","Lever arm on knuckle connecting to tie rod","Steering Knuckle, Tie Rod End"
"Exhaust System","Catalytic Converter Heat Shield","Metal shield protecting underbody from heat","Catalytic Converter, Underbody/Frame"
"Engine","Piston Pin / Wrist Pin","Connects piston to connecting rod small end","Piston Boss, Connecting Rod Small End Bore"
"Transmission System","Transmission Oil Pump","Circulates ATF within automatic transmission","Transmission Case (Front), Torque Converter Hub (Driven by)"
"Braking System","Brake Booster Check Valve","Prevents vacuum loss from brake booster","Brake Booster, Vacuum Hose, Intake Manifold"
"Fuel System","Fuel Tank Pressure Sensor","Monitors pressure/vacuum in fuel tank for EVAP","Fuel Tank/Pump Module, ECU, Wiring"
"Cooling System","Engine Oil Cooler Adapter/Housing","Mounts oil cooler and/or filter to engine block","Engine Block, Oil Cooler, Oil Filter, Coolant/Oil Lines"
"Suspension System","Shock Absorber Mount Bushing","Isolates shock absorber mounting points","Shock Absorber Eyelet, Chassis/Axle Mount"
"Electrical System","Dimmer Switch (Headlights)","Selects high/low beam headlights","Steering Column Stalk/Dashboard Switch, BCM/Relay, Wiring"
"Safety System","Rollover Sensor","Detects vehicle tilt angle for safety system activation","Vehicle Chassis (Center), SRS Module/ESC Module, Wiring"
"Body/Chassis","Door Latch Assembly","Mechanism holding door closed; includes lock actuator","Door Edge, Striker Plate (Body Pillar)"
"Interior","Carpet","Floor covering material","Vehicle Floor Pan, Trim Panels, Seats"
"Engine","Valve Cover","Covers valvetrain components on top of cylinder head","Cylinder Head, Valve Cover Gasket, Bolts"
"Transmission System","Differential Pinion Bearing","Supports differential pinion gear","Differential Housing, Pinion Gear Shaft"
"Braking System","Brake Fluid Level Sensor","Warns driver of low brake fluid","Master Cylinder Reservoir, Instrument Cluster, Wiring"
"Fuel System","Fuel Pump Driver Module","Controls voltage/speed of electric fuel pump","ECU, Fuel Pump, Wiring"
"Cooling System","Radiator Fan Motor","Electric motor spinning cooling fan blade","Fan Blade, Fan Shroud, Wiring, Fan Control Module/Relay"
"Suspension System","Control Arm Bushing","Allows pivoting while isolating vibration","Control Arm, Chassis/Subframe Mount"
"Electrical System","MAP Sensor Wiring Connector","Connects MAP sensor to wiring harness","MAP Sensor, Wiring Harness"
"Steering System","Tie Rod Adjusting Sleeve","Connects inner and outer tie rods; allows toe adjustment","Inner Tie Rod, Outer Tie Rod End"
"Exhaust System","Oxygen Sensor Bung","Threaded port welded into exhaust pipe for sensor","Exhaust Pipe/Manifold/Catalytic Converter"
"Engine","Timing Belt Tensioner","Maintains correct tension on timing belt","Engine Block/Head, Timing Belt, Pivot/Hydraulic Mechanism"
"Transmission System","Differential Carrier Bearing","Supports differential carrier assembly","Differential Housing, Differential Carrier, Bearing Caps"
"Braking System","ABS Tone Ring / Reluctor Ring","Toothed ring providing signal for wheel speed sensor","Axle Shaft/CV Joint/Wheel Hub, Wheel Speed Sensor"
"Fuel System","Fuel Cap Seal / Gasket","Ensures proper seal for fuel cap","Fuel Cap"
"Cooling System","Coolant Pipe / Tube","Rigid tube carrying coolant between components","Engine Block, Water Pump, Heater Core, Radiator"
"Suspension System","Ball Joint Dust Boot","Protects ball joint internals from contamination","Ball Joint Housing/Stud"
"Electrical System","Throttle Position Sensor Connector","Connects TPS to wiring harness","Throttle Position Sensor, Wiring Harness"
"Safety System","Passenger Airbag On/Off Switch","Allows manual disabling of passenger airbag","Dashboard, SRS Module, Wiring"
"Body/Chassis","Trunk Lid / Tailgate Latch","Mechanism securing rear closure panel","Trunk Lid/Tailgate, Striker Plate (Body)"
"Interior","Steering Wheel Controls","Buttons for audio, cruise control, phone, etc.","Steering Wheel, Clockspring, Radio/BCM/ECU"
"Engine","Exhaust Manifold Stud/Bolt","Fastens exhaust manifold to cylinder head","Exhaust Manifold Flange, Cylinder Head"
"Transmission System","Transmission Dipstick Tube Seal","Seals dipstick tube entry point","Transmission Case, Dipstick Tube"
"Braking System","Caliper Piston Seal","Seals hydraulic fluid around caliper piston","Caliper Piston, Caliper Bore"
"Fuel System","Fuel Line Connector/Fitting","Connects sections of fuel line","Fuel Line Ends, Fuel Filter/Pump/Rail Ports"
"Cooling System","Heater Core Seal/Gasket","Seals heater core pipes passing through firewall","Heater Core Pipes, Firewall"
"Suspension System","Sway Bar Link Bushing","Isolates sway bar link connections","Sway Bar Link Ends, Sway Bar/Control Arm Mounts"
"Electrical System","Oxygen Sensor Connector","Connects O2 sensor to wiring harness","Oxygen Sensor, Wiring Harness"
"Steering System","Power Steering Pump Pulley","Driven by belt to power the pump","Power Steering Pump Shaft, Serpentine/V-Belt"
"Exhaust System","Exhaust Flange Gasket","Seals connection between flanged exhaust components","Exhaust Pipe Flanges"
"Engine","Camshaft Seal","Seals end of camshaft where it exits head/block","Camshaft End, Cylinder Head/Timing Cover"
"Transmission System","Differential Cover Gasket","Seals differential cover to housing","Differential Cover, Differential Housing"
"Braking System","Master Cylinder Repair Kit","Includes seals/pistons to rebuild master cylinder","Master Cylinder Bore/Pistons"
"Fuel System","Fuel Injector Rail Mounting Bolt","Secures fuel rail","Fuel Rail, Intake Manifold/Cylinder Head"
"Cooling System","Water Pump Impeller","Rotating component moving coolant","Water Pump Housing/Shaft"
"Suspension System","Strut Bearing / Strut Mount Bearing","Allows strut assembly to pivot for steering","Strut Mount Top Plate"
"Electrical System","Crankshaft Position Sensor Connector","Connects CKP sensor to wiring harness","Crankshaft Position Sensor, Wiring Harness"
"Safety System","Seat Belt Anchor Bolt","Secures seat belt components to vehicle structure","Seat Belt Retractor/Anchor Plate, Chassis/Body Structure"
"Body/Chassis","Door Striker Plate","Plate on body pillar engaged by door latch","Body Pillar (B/C), Door Latch"
"Interior","Shift Knob","Handle atop gear shifter lever","Shifter Lever"
"Engine","Crankshaft Seal (Front/Rear)","Seals ends of crankshaft where it exits block","Crankshaft Snout/Flange, Engine Block/Timing Cover/Rear Main Seal Retainer"
"Transmission System","Transmission Pan Gasket","Seals transmission fluid pan to case (auto)","Transmission Pan, Transmission Case"
"Braking System","Brake Booster Vacuum Hose","Connects intake manifold vacuum to booster","Brake Booster Check Valve, Intake Manifold Fitting"
"Fuel System","Fuel Tank Sending Unit Lock Ring","Secures fuel pump/sending unit into tank","Fuel Tank Opening, Fuel Pump Module/Sending Unit"
"Cooling System","Radiator Fan Blade","Moves air when spun by motor/clutch","Fan Motor Shaft/Fan Clutch Flange"
"Suspension System","Steering Knuckle Seal","Seals wheel bearing area (some designs)","Steering Knuckle Bore, Wheel Hub/Axle Shaft"
"Electrical System","Camshaft Position Sensor Connector","Connects CMP sensor to wiring harness","Camshaft Position Sensor, Wiring Harness"
"Steering System","Power Steering Return Hose","Carries low-pressure fluid back to reservoir","Steering Rack/Gearbox Return Port, Reservoir Inlet"
"Exhaust System","Muffler Hanger / Insulator","Rubber mount isolating muffler from chassis","Muffler Body/Pipe, Chassis Mount"
"Engine","Oil Pump Pickup Tube O-Ring/Gasket","Seals oil pump pickup tube connection","Oil Pump Inlet, Pickup Tube Flange"
"Transmission System","Axle Shaft Bearing","Supports axle shaft rotation (solid axle)","Axle Housing Tube, Axle Shaft"
"Braking System","Brake Caliper Bleeder Screw Cap","Protective cap for bleeder screw","Brake Caliper Bleeder Screw"
"Fuel System","Throttle Body Gasket","Seals throttle body to intake manifold","Throttle Body Base, Intake Manifold Inlet"
"Cooling System","Coolant Crossover Pipe","Connects coolant passages between cylinder heads (V-engines)","Cylinder Heads, Hoses/Sensors Mounts"
"Suspension System","Control Arm Shaft Kit (older cars)","Includes shaft and bushings for control arm pivot","Control Arm, Frame Bracket"
"Electrical System","Battery Terminal Connector","Connects cables to battery posts","Battery Post, Battery Cable"
"Safety System","Airbag Inflator Module","Component containing propellant generating gas","Airbag Cushion, SRS Module Signal"
"Body/Chassis","Grille","Decorative and protective screen at front of vehicle","Bumper Cover/Radiator Support"
"Interior","Dome Light","Interior overhead light","Headliner, Switch (Door Jamb/Manual), Wiring"
"Engine","EGR Valve Gasket","Seals EGR valve mounting surface","EGR Valve Base, Intake/Exhaust Manifold"
"Transmission System","Transmission Shift Cable/Linkage Bushing","Isolates connection points in shifter mechanism","Shift Cable/Rod Ends, Shifter Lever/Transmission Lever"
"Braking System","ABS Wheel Speed Sensor Wiring Harness","Connects sensor to main harness/ABS module","Wheel Speed Sensor, Main Wiring Harness/ABS Module"
"Fuel System","Fuel Filler Neck Ground Strap","Ensures proper grounding for static discharge","Fuel Filler Neck, Chassis"
"Cooling System","Radiator Fan Switch/Sensor","Turns cooling fan on/off based on temperature","Radiator Tank/Coolant Pipe, Fan Control Module/Relay, Wiring"
"Suspension System","Leaf Spring Shackle Bushing","Isolates leaf spring connection to shackle","Leaf Spring Eye, Shackle Plate"
"Electrical System","Ignition Coil Boot / Spark Plug Wire Boot","Insulates high-voltage connection","Ignition Coil Tower/Spark Plug Wire End, Spark Plug Terminal"
"Steering System","Power Steering Pressure Hose","Carries high-pressure fluid from pump to gear/rack","Power Steering Pump Outlet, Steering Rack/Gearbox Inlet"
"Exhaust System","Exhaust Pipe Connector / Sleeve Clamp","Joins sections of exhaust pipe","Exhaust Pipe Ends"
"Engine","Valve Cover Bolt Grommet/Seal","Seals valve cover mounting bolts","Valve Cover, Valve Cover Bolt"
"Transmission System","Differential Pinion Bearing Shim","Used to set pinion depth/bearing preload","Differential Housing Bore, Pinion Bearing Race"
"Braking System","Parking Brake Lever/Pedal Assembly","Driver interface for applying parking brake","Cabin Floor/Dashboard Mount, Main Cable"
"Fuel System","Fuel Injector Clip/Retainer","Secures fuel injector in rail/manifold","Fuel Injector Body, Fuel Rail/Intake Manifold"
"Cooling System","Heater Core Tube O-Ring/Seal","Seals heater core tube connections","Heater Core Tube Ends, Connector/Firewall Pass-through"
"Suspension System","Leaf Spring Center Bolt","Holds leaf spring stack together","Leaf Spring Leaves"
"Electrical System","Horn Relay","Switches high current to horn(s)","Fuse Box, Horn Switch Signal, Horn(s), Wiring"
"Safety System","Seat Occupancy Sensor Mat","Detects passenger presence in seat","Passenger Seat Cushion, OCS Module/SRS Module"
"Body/Chassis","Rocker Panel / Sill Plate","Structural member below doors","Unibody Structure/Frame, Fender, Quarter Panel"
"Interior","Seat Adjustment Handle/Switch","Controls seat position (manual/power)","Seat Track/Frame, Motors/Cables"
"Engine","Oil Filter Housing Gasket/Seal","Seals oil filter housing to engine block","Oil Filter Housing, Engine Block"
"Transmission System","Differential Carrier Bearing Shim","Used to set carrier bearing preload/backlash","Differential Housing Bore, Carrier Bearing Race"
"Braking System","Brake Booster Pushrod Adjustment","Adjusts length of rod connecting booster to master cylinder","Brake Booster Output Rod, Master Cylinder Piston"
"Fuel System","Fuel Tank Sending Unit Float","Buoyant component moving arm on level sender","Fuel Level Sender Arm"
"Cooling System","Radiator Drain Plug","Allows draining of coolant from radiator","Radiator Lower Tank"
"Suspension System","Leaf Spring U-Bolt","Secures axle housing to leaf spring","Axle Housing Tube, Leaf Spring, Axle Plate"
"Electrical System","Wiper Arm","Connects wiper motor linkage to wiper blade","Wiper Motor Linkage Pivot, Wiper Blade Connector"
"Steering System","Steering Column Bearing","Supports rotation of steering shaft within column","Steering Column Housing, Steering Shaft"
"Exhaust System","Exhaust Hanger Rubber Insulator","Isolates exhaust hanger rod from chassis mount","Exhaust Hanger Rod, Chassis Mount Bracket"
"Engine","Timing Cover Gasket/Sealant","Seals timing cover to engine block","Timing Cover, Engine Block Front Surface"
"Transmission System","Shift Lever Boot/Seal","Seals shifter opening in floor/console","Shifter Lever, Floor Pan/Transmission Tunnel"
"Braking System","Master Cylinder Reservoir Diaphragm/Seal","Flexible seal under reservoir cap","Master Cylinder Reservoir Cap"
"Fuel System","Fuel Line O-Ring","Seals connections in fuel lines/components","Fuel Line Fittings, Component Ports (Filter, Pump, Rail)"
"Cooling System","Radiator Hose Clamp","Secures radiator hoses to fittings","Radiator Hose Ends, Radiator/Engine Fittings"
"Suspension System","Shock Absorber Washer/Bushing Kit","Hardware for mounting shock absorber eyelets","Shock Absorber Eyelet, Mounting Bolt/Stud"
"Electrical System","Alternator Wiring Connector","Connects alternator to wiring harness","Alternator Terminals, Wiring Harness"
"Safety System","Seat Belt Webbing Guide Loop","Guides seat belt over occupant's shoulder","B-Pillar Trim/Seat Structure"
"Body/Chassis","Quarter Panel","Rear side body panel","Unibody Structure, C-Pillar, Bumper, Trunk Lid/Tailgate"
"Interior","Door Handle (Interior/Exterior)","Lever for opening door","Door Latch Mechanism, Door Panel/Exterior Door Skin"
"Engine","Oil Pump Drive Gear/Shaft","Transfers rotation to oil pump","Distributor Shaft/Camshaft/Crankshaft, Oil Pump Body"
"Transmission System","Differential Side Bearing","Supports differential carrier rotation relative to housing","Differential Housing Bore, Differential Carrier Hub"
"Braking System","Brake Fluid Reservoir","Holds supply of brake fluid for master cylinder","Master Cylinder Body"
"Fuel System","Fuel Vapor Leak Detection Pump","Pressurizes/vacuums EVAP system for leak testing","EVAP System Lines, ECU, Wiring"
"Cooling System","Water Pump Weep Hole","Allows coolant to escape if internal seal fails","Water Pump Housing"
"Suspension System","Radius Arm Bushing","Isolates radius arm connection points","Radius Arm Ends, Axle/Frame Mounts"
"Electrical System","Starter Motor Brush Set","Conducts current to starter motor commutator","Starter Motor End Frame, Commutator"
"Steering System","Steering Gearbox Seal Kit","Includes seals to rebuild steering gearbox","Steering Gearbox Housing/Shafts"
"Exhaust System","Oxygen Sensor Wrench/Socket","Specialized tool for removing/installing O2 sensors","Oxygen Sensor Hex Body"
"Engine","Valve Retainer and Keeper/Cotter","Secures valve spring to valve stem","Valve Stem Groove, Valve Spring, Retainer"
"Transmission System","Transmission Breather Vent","Allows pressure equalization inside transmission","Transmission Case Top"
"Braking System","Caliper Pin Boot/Bushing","Protects/guides caliper guide pins","Caliper Bracket Bore, Caliper Guide Pin"
"Fuel System","Fuel Filler Neck Vent Hose","Allows air displacement during refueling","Fuel Filler Neck, Fuel Tank/Canister"
"Cooling System","Thermostat Housing Bolt","Secures thermostat housing components","Thermostat Housing Flanges"
"Suspension System","Sway Bar Frame Bushing Bracket","Secures sway bar bushing to chassis","Chassis Frame, Sway Bar Bushing"
"Electrical System","Battery Tray","Support structure holding battery","Chassis Frame/Inner Fender"
"Safety System","Crash Sensor Connector","Electrical connection for crash sensor","Crash Sensor, Wiring Harness"
"Body/Chassis","Mirror Glass (Side View)","Reflective element in side mirror assembly","Side Mirror Housing, Backing Plate"
"Interior","Pedal Pad (Accelerator, Brake, Clutch)","Rubber cover for driver control pedals","Pedal Lever Arms"
"Engine","Rear Main Seal Retainer/Housing","Mounts rear crankshaft seal","Engine Block Rear Face, Crankshaft Flange"
"Transmission System","Differential Pinion Yoke/Flange","Connects driveshaft to differential pinion","Differential Pinion Shaft, Driveshaft U-Joint"
"Braking System","Brake Booster Gasket/Seal","Seals brake booster mounting to firewall","Brake Booster Flange, Firewall"
"Fuel System","Fuel Pump Mounting Gasket/Seal","Seals fuel pump module to fuel tank","Fuel Pump Module Flange, Fuel Tank Opening"
"Cooling System","Coolant Level Sensor","Detects low coolant level","Coolant Reservoir/Radiator, ECU/Instrument Cluster, Wiring"
"Suspension System","Wheel Stud","Threaded fastener securing wheel to hub","Wheel Hub Flange, Lug Nut"
"Electrical System","Fuse Puller Tool","Small tool for removing fuses","Fuse Box"
"Steering System","Power Steering Pump Bracket","Mounts power steering pump to engine","Power Steering Pump Body, Engine Block/Head"
"Exhaust System","Exhaust Tip","Decorative end piece for tailpipe","Tailpipe End"
"Engine","Camshaft Sprocket/Gear","Driven by timing belt/chain; rotates camshaft","Camshaft Nose, Timing Belt/Chain"
"Transmission System","Transmission Cooler Fitting","Connects cooler lines to transmission/radiator","Transmission Case Port/Radiator Tank Port, Cooler Line End"
"Braking System","Drum Brake Wheel Cylinder Bleeder Screw","Allows bleeding air/fluid from wheel cylinder","Wheel Cylinder Body"
"Fuel System","Fuel Rail Pressure Sensor Seal/O-Ring","Seals sensor into fuel rail","Fuel Rail Port, Pressure Sensor Body"
"Cooling System","Water Pump Pulley","Driven by belt; spins water pump shaft","Water Pump Shaft Flange, Serpentine/V-Belt"
"Suspension System","Ball Joint Press Tool","Used for removing/installing press-in ball joints","Control Arm Bore, Ball Joint Body"
"Electrical System","Trailer Wiring Connector","Provides electrical connection for trailer lights/brakes","Vehicle Wiring Harness, Trailer Plug"
"Safety System","Seat Belt Height Adjuster","Allows changing shoulder belt anchor point height","B-Pillar Trim, Seat Belt Anchor"
"Body/Chassis","Mud Flap / Splash Guard","Reduces spray of water/mud","Wheel Well Liner/Fender Edge"
"Interior","Floor Mat","Removable mat protecting carpet","Vehicle Floor Pan/Carpet"
"Engine","Crankshaft Sprocket/Gear","Drives timing belt/chain from crankshaft","Crankshaft Snout, Timing Belt/Chain"
"Transmission System","Clutch Fork Pivot Ball/Stud","Pivot point for clutch release fork","Bell Housing Inner Surface"
"Braking System","Brake Rotor Minimum Thickness Specification","Stamped/published limit for rotor wear","Brake Rotor Surface"
"Fuel System","Fuel Injector Flow Rate","Specification of fuel volume delivered per time unit","Fuel Injector Design/Part Number"
"Cooling System","Radiator Pressure Tester Adapter","Fits specific radiator neck for pressure testing","Radiator Neck/Reservoir Cap Opening"
"Suspension System","Alignment Rack","Equipment used for measuring/adjusting wheel alignment","Vehicle Wheels/Suspension Points"
"Electrical System","Scan Tool / Code Reader","Device interfacing with OBD-II port for diagnostics","OBD-II Port, ECU Network"
"Steering System","Rack and Pinion Bellows/Boot","Protects inner tie rod joints","Steering Rack Housing Ends, Inner Tie Rod"
"Exhaust System","Exhaust Backpressure Test Port","Access point for measuring exhaust restriction","Exhaust Pipe (Pre-Catalyst usually)"
"Engine","Oil Viscosity Grade (e.g., 5W-30)","Specification of oil's flow characteristics","Engine Oil Recommendation/Cap"
"Transmission System","Differential Fill Plug","Allows adding gear oil to differential","Differential Housing Cover/Side"
"Braking System","Brake Fluid DOT Specification (e.g., DOT 3, DOT 4)","Standard defining brake fluid properties","Brake Fluid Recommendation/Reservoir Cap"
"Fuel System","Fuel Octane Rating Requirement (e.g., 87, 91)","Measure of gasoline's resistance to knocking","Vehicle Fuel Recommendation/Gas Cap Area"
"Cooling System","Antifreeze/Coolant Type (e.g., OAT, HOAT, IAT)","Specification of coolant chemistry","Coolant Recommendation/Reservoir"
"Suspension System","Tire Pressure Specification (PSI/kPa)","Recommended inflation pressure for tires","Driver's Door Jamb Sticker/Owner's Manual"
"Electrical System","Fuse Amperage Rating","Maximum current a fuse can handle","Fuse Body Top/Side"
"Steering System","Power Steering Fluid Type Specification","Recommended fluid for power steering system","Fluid Recommendation/Reservoir Cap"
"Exhaust System","Emission Control Information Label","Vehicle-specific emissions system components/standards","Underhood Area"
"Engine","Valve Clearance / Lash Specification","Required gap in valvetrain (solid lifters)","Vehicle Service Manual"
"Transmission System","Gear Oil Viscosity Grade (e.g., 75W-90)","Specification for manual transmission/differential fluid","Fluid Recommendation/Service Manual"
"Braking System","Brake Pad Wear Indicator","Metal tab causing squeal when pads are worn","Brake Pad Backing Plate"
"Fuel System","Fuel Trim (Short Term / Long Term)","ECU adjustment to fuel delivery based on O2 sensor feedback","Scan Tool Data Parameter"
"Cooling System","Coolant pH Level Test Strip","Measures acidity/alkalinity of coolant","Coolant Sample"
"Suspension System","Ride Height Specification","Factory measurement of vehicle suspension height","Vehicle Service Manual"
"Electrical System","Battery State of Charge (Voltage/Hydrometer)","Measure of battery's stored energy level","Battery Terminals (Voltage) / Electrolyte (Hydrometer)"
"Steering System","Steering Wheel Play / Freeplay","Amount of steering wheel movement before wheels turn","Steering Wheel Movement"
"Exhaust System","Catalytic Converter Efficiency Monitor","OBD-II diagnostic routine checking catalyst function","ECU Software, O2 Sensors (Upstream/Downstream)"
"Engine","Compression Test Reading","Measure of cylinder's ability to compress air","Spark Plug Hole, Compression Gauge"
"Transmission System","Transmission Stall Speed Test","Diagnostic test for automatic transmission/torque converter","Vehicle Held Stationary, Engine at Full Throttle in Drive"
"Braking System","Brake Pedal Travel Measurement","Distance brake pedal moves before brakes engage","Brake Pedal Position"
"Fuel System","Fuel Pump Volume Test","Measures amount of fuel delivered by pump per time unit","Fuel Line Disconnected, Graduated Container, Timer"
"Cooling System","Cooling System Pressure Test","Checks for leaks by pressurizing the system","Radiator/Reservoir Neck, Pressure Tester Pump"
"Suspension System","Tire Tread Depth Measurement","Remaining depth of tire grooves","Tire Tread Groove, Depth Gauge"
"Electrical System","Parasitic Draw Test","Measures electrical current draw when vehicle is off","Battery Negative Terminal/Cable, Ammeter"
"Steering System","Power Steering Pump Pressure Test","Measures output pressure of power steering pump","Pump Outlet Line, Pressure Gauge"
