"scenario_type","symptoms","possible_causes","contextual_advice"
"Transmission Issues","Vehicle shudders when torque converter locks up","Worn torque converter clutch","Scan TCM for codes, may need torque converter replacement"
"Brake Issues","Brakes grab suddenly with light pedal pressure","Contaminated brake pads/rotors (oil, grease)","Clean rotors, replace contaminated pads"
"Unusual Smell","Oily smell, blue smoke from exhaust","Engine burning oil (worn rings/valve seals)","Monitor oil consumption, may need engine work"
"Loss of Power","Engine 'lugging' or struggling at low RPM","Transmission not downshifting correctly/engine issue","Scan TCM/ECU for codes, check transmission function"
"Car Won’t Start","Car starts with jump, dies when cables removed","Faulty alternator not charging battery","Test alternator output voltage"
"Vibration","Floorboard vibration at specific RPM range","Exhaust system resonance/contacting body","Inspect exhaust hangers and clearance"
"Leaking Fluid","Grease splattered inside wheel well","Torn CV boot","Replace CV boot and repack joint immediately"
"Warning Light","ABS and Brake warning lights both on","Low brake fluid/serious ABS/brake system fault","Check fluid level, have system scanned immediately"
"Strange Noise","Loud bang or pop when starting engine","Backfire (ignition or timing issue)","Check ignition timing, fuel mixture"
"Poor Fuel Economy","Calculated MPG much lower than expected","Driving habits/calculation error/vehicle issue","Track fuel fill-ups accurately, monitor driving style, consider tune-up"
"AC/Heat Issues","Only blows air from defrost vents","Default mode due to vacuum leak/actuator failure","Check HVAC vacuum lines, test mode door actuators"
"Electrical Issues","Sunroof struggles to open/close or stops","Binding track/weak motor/faulty switch","Clean and lubricate tracks, test motor and switch"
"Transmission Issues","Whine that changes pitch with vehicle speed (not engine speed)","Differential noise (bearings/gears)","Check differential fluid level, may need diagnosis"
"Brake Issues","Brake fluid appears dark or dirty","Fluid contaminated/old, needs flushing","Flush brake fluid"
"Unusual Smell","Rubbery smell, possibly near wheels","Dragging brake/slipping belt","Check if wheels turn freely, inspect belts"
"Loss of Power","Engine idle speed fluctuates up and down","Vacuum leak/dirty throttle body/IAC valve issue","Check for vacuum leaks, clean throttle/IAC"
"Car Won’t Start","No crank, just single loud click from starter area","Starter solenoid engaging but motor not turning","Faulty starter motor/engine seized (rare)"
"Vibration","Loose feeling in suspension over bumps","Worn shock/strut mounts or bushings","Inspect suspension mounts and bushings"
"Leaking Fluid","Fuel smell strongest near rear wheel","Leaking fuel tank seam/filler neck connection","Inspect fuel tank area for wetness/stains"
"Warning Light","Low fuel light on","Fuel level low","Refuel vehicle"
"Strange Noise","Fluttering noise under acceleration","Exhaust leak/turbo flutter","Inspect exhaust manifold/downpipe, check turbo system"
"Overheating","Coolant appears rusty or brown","Corrosion in cooling system/old coolant","Flush cooling system, use correct coolant type"
"Steering Issues","Excessive play or looseness in steering wheel","Worn tie rods/steering gear/linkage","Inspect all steering components for play"
"Electrical Issues","Gauges sweep or act erratically on startup","Normal self-test procedure for some vehicles","No action needed unless gauges malfunction otherwise"
"Transmission Issues","Difficulty shifting into gear (manual)","Low clutch fluid/worn clutch/linkage issue","Check clutch fluid, inspect clutch system and shifter linkage"
"Brake Issues","Need to pump brakes to get pressure","Air in brake lines/failing master cylinder","Bleed brakes, inspect master cylinder"
"Unusual Smell","Vinegar smell from vents (rare, AC related)","Specific type of bacteria/mold growth","Clean HVAC evaporator/ducts"
"Loss of Power","Car accelerates fine, but top speed limited","Electronic speed limiter (normal) or engine protection mode","Check if speed limit is normal, scan for codes if in protection mode"
"Car Won’t Start","Humming noise from rear, no start","Fuel pump priming (normal) but engine not starting","Check for spark and fuel delivery (injector pulse)"
"Vibration","Slight vibration at idle in gear (automatic)","Normal engine load characteristic/idle speed low","Check idle speed, check motor mounts if excessive"
"Leaking Fluid","Power steering fluid foaming in reservoir","Air entering system (low fluid/leak)","Check fluid level, find and repair leak, bleed system"
"Warning Light","Check Engine light with cruise control flashing","Subaru specific: Indicates engine fault disabling cruise","Get diagnostic scan for primary engine code"
"Strange Noise","High-pitched whistle from engine bay","Vacuum leak/turbocharger air leak","Listen for source, check vacuum hoses and turbo piping"
"Poor Fuel Economy","Tire pressures correct, but MPG still low","Dragging brake/wheel alignment/oxygen sensor issue","Check for brake drag, verify alignment, scan for O2 sensor codes"
"AC/Heat Issues","Temperature changes side-to-side (dual zone)","Blend door actuator failure for one side","Diagnose specific blend door actuator"
"Electrical Issues","Windows/locks work from master switch but not individual switch","Faulty individual switch/child lock enabled","Check child lock, test individual switch/wiring"
"Transmission Issues","Clunk noise when letting off gas pedal","Drivetrain slack (U-joints, differential backlash)","Inspect U-joints and check differential backlash"
"Brake Issues","Brake pedal slowly sinks while holding pressure","Internal leak in master cylinder","Replace master cylinder"
"Unusual Smell","Wet carpet smell","Water leak into cabin/heater core leak","Find source of water entry, dry thoroughly"
"Loss of Power","Engine feels 'flat', lacks responsiveness","Timing issue/low fuel pressure","Check ignition timing, test fuel pressure"
"Car Won’t Start","Security system prevents start after battery change","Needs security system relearn procedure","Consult owner's manual or dealer for procedure"
"Vibration","Vibration only when coasting","Driveshaft imbalance/angle issue/tire issue","Check driveshaft balance/angles, inspect tires"
"Leaking Fluid","Transmission fluid leaking from front pump seal","Requires transmission removal to replace seal","Professional repair needed"
"Warning Light","Charging system warning light","Alternator failure/belt issue/wiring problem","Test charging system voltage, inspect belt/connections"
"Strange Noise","Deep groan when turning steering wheel at full lock","Power steering pump straining (normal to some extent)","Avoid holding wheel at full lock, check fluid level"
"Overheating","Engine overheats climbing hills","Cooling system capacity issue (radiator blockage/water pump weak)","Check radiator flow, test water pump efficiency"
"Steering Issues","Car pulls to one side constantly","Wheel alignment issue/uneven tire pressure/brake drag","Check tire pressures, get alignment, check for brake drag"
"Electrical Issues","Battery goes dead after sitting for few days","Parasitic draw/weak battery unable to hold charge","Test battery condition, perform parasitic draw test"
"Transmission Issues","Transmission won't shift into highest gear","Sensor issue/solenoid problem/TCM fault","Scan TCM for codes"
"Brake Issues","Metallic click when applying/releasing brakes","Normal brake pad movement in caliper bracket","Generally no concern unless very loud or other symptoms"
"Unusual Smell","Pungent, acrid smell from engine area","Overheating clutch (manual)/dragging brake/oil on exhaust","Identify context (shifting, braking), inspect relevant components"
"Loss of Power","Feels like engine is 'running on fewer cylinders'","Misfire due to coil/plug/injector/compression","Scan for misfire codes, perform diagnostics"
"Car Won’t Start","No crank, lights dim significantly when key turned","Very weak battery/poor connection/starter drawing excessive current","Test battery/connections, test starter amperage draw"
"Vibration","High frequency buzz through steering wheel","Tire issue (harmonic)/power steering pump noise","Check tire balance/condition, check P/S fluid/pump"
"Leaking Fluid","Oil leaking from drain plug","Loose plug/damaged threads/bad gasket","Tighten plug, replace gasket, check threads"
"Warning Light","DPF light on (Diesel Particulate Filter)","DPF requires regeneration or is blocked","Drive at highway speeds for regeneration, or seek service if persists"
"Strange Noise","'Foghorn' or 'moose' sound when braking lightly","Specific brake pad resonance issue","Try different pad material, ensure hardware is correct"
"Poor Fuel Economy","Short trips significantly reduce MPG","Normal - Engine doesn't reach optimal temp","Combine trips, allow engine warmup"
"AC/Heat Issues","Cannot adjust fan speed","Failed blower motor resistor/fan speed controller","Replace resistor/controller"
"Electrical Issues","Clock keeps resetting","Constant power supply to radio/clock interrupted","Check constant power fuse/wiring"
"Transmission Issues","Harsh engagement into Drive or Reverse","High idle speed/worn mounts/internal issue","Check idle speed, inspect mounts, scan TCM"
"Brake Issues","Noise when turning and braking simultaneously","CV joint/wheel bearing/brake issue interaction","Careful inspection needed to isolate source"
"Unusual Smell","Smell of gunpowder after hard acceleration (rare)","Extremely rich fuel mixture/misfire","Scan for codes, check fuel system"
"Loss of Power","Gradual loss of power over months","Engine wear/needs tune-up/restricted intake or exhaust","Perform compression test, tune-up, check intake/exhaust flow"
"Car Won’t Start","Fuel pump doesn't prime (no hum from tank)","Faulty fuel pump relay/fuse/pump/wiring","Check fuse/relay, test power at pump"
"Vibration","Thrumming noise related to vehicle speed","Tire noise (aggressive tread/uneven wear)/wheel bearing","Rotate tires to isolate, inspect bearings"
"Leaking Fluid","Water leaking inside cabin near glove box","Clogged AC evaporator drain","Locate and clear evaporator drain tube"
"Warning Light","Brake Fluid Level warning","Low brake fluid level/sensor fault","Check brake fluid level, inspect sensor"
"Strange Noise","Knocking or pinging under light acceleration","Carbon buildup in cylinders/incorrect timing","Use fuel system cleaner, check timing"
"Overheating","Temperature gauge drops suddenly while driving","Faulty thermostat stuck open/sensor issue","Monitor temps, check thermostat/sensor"
"Steering Issues","'Clunk' felt in steering wheel over bumps","Worn intermediate steering shaft U-joint/steering rack bushing","Inspect shaft U-joints and rack mountings"
"Electrical Issues","Hazard lights flash erratically","Faulty flasher relay/switch/wiring issue","Test flasher unit and switch"
"Transmission Issues","Makes noise in all gears except one (e.g., 4th)","Bearing noise specific to certain gear paths","Requires internal transmission diagnosis"
"Brake Issues","Brake pedal feels 'gritty' when pressed","Debris in brake fluid/master cylinder issue","Flush fluid, inspect master cylinder bore"
"Unusual Smell","Chemical smell inside car","Fluid leak (coolant, washer fluid, etc.)/off-gassing plastic","Identify fluid type, check for leaks, ventilate"
"Loss of Power","Turbo lag more pronounced than usual","Boost leak/sticking wastegate/failing turbo","Inspect hoses, check wastegate, monitor boost"
"Car Won’t Start","Starts fine cold, hard to start when hot","Vapor lock (older cars)/leaking injector/sensor issue","Check fuel pressure, test injectors, check temp sensor readings"
"Vibration","Side mirror glass vibrates at speed","Loose mirror glass/internal mechanism issue","Secure glass or replace mirror assembly"
"Leaking Fluid","Oil leak from turbocharger","Failing turbo seals/oil supply/drain line issue","Inspect turbo oil lines and seals"
"Warning Light","General warning light (exclamation point)","Varies by car - check manual (e.g., TPMS, low fluid, etc.)","Consult owner's manual for specific meaning"
"Strange Noise","Screeching noise on startup, then goes away","Belt slipping due to cold/moisture/wear","Check belt tension and condition"
"Poor Fuel Economy","Using E85 fuel instead of regular gasoline","E85 has lower energy content (normal MPG decrease)","Use recommended fuel type for optimal MPG"
"AC/Heat Issues","Heater core constantly hot (heat won't turn off)","Stuck heater control valve/blend door issue","Check valve operation, test blend door"
"Electrical Issues","Key fob range significantly reduced","Low key fob battery/interference/receiver issue","Replace fob battery, check for interference"
"Transmission Issues","Pops out of gear (manual)","Worn shifter linkage bushings/internal transmission wear","Inspect linkage, may need transmission repair"
"Brake Issues","Brake pedal travels further than usual","Air in lines/low fluid/worn pads","Check fluid, bleed brakes, inspect pads"
"Unusual Smell","Smell of warm electronics","Normal operating smell from infotainment/modules","Monitor, ensure no overheating or melting"
"Loss of Power","Significant power loss after washing engine","Water intrusion into sensitive electronics/connectors","Allow drying time, check connectors, use dielectric grease preventatively"
"Car Won’t Start","Battery tests good, still no crank","Faulty ignition switch/park-neutral switch","Test ignition switch and neutral safety circuit"
"Vibration","Rattling from dashboard area","Loose trim panel/object in vent/internal component","Try to pinpoint location, check trim clips"
"Leaking Fluid","Pink/Red fluid puddle","Transmission fluid or some types of coolant","Identify location (transmission vs cooling system)"
"Warning Light","Fog light indicator on","Fog lights are turned on","Turn off fog lights if not needed"
"Strange Noise","Chirping noise related to engine speed","Dry bearing in pulley/tensioner/alternator","Use mechanic's stethoscope to isolate noisy component"
"Overheating","Engine temp climbs rapidly, then drops (cycling)","Sticking thermostat/air in system","Replace thermostat, bleed cooling system properly"
"Steering Issues","Steering wheel hard to turn only at low speeds","Power steering pump issue/low fluid","Check fluid level, test pump pressure"
"Electrical Issues","Intermittent gauge failure (speedo, tach)","Faulty instrument cluster/sensor/wiring","Scan for codes, test sensors, may need cluster repair"
"Transmission Issues","Transmission fluid dark and smells burnt","Severe overheating/internal component failure","Requires professional diagnosis, likely overhaul/replacement"
"Brake Issues","Spongy pedal improves after pumping brakes","Air in brake lines","Bleed brake system thoroughly"
"Unusual Smell","Strong fuel smell when car is parked (no visible leak)","EVAP system leak (canister, purge valve, lines)","Check EVAP system components, perform smoke test"
"Loss of Power","Engine surges or hunts at steady speed","Fuel delivery inconsistency/vacuum leak/sensor issue","Check fuel pressure, check for vacuum leaks, scan sensors"
"Car Won’t Start","Starter keeps running after engine starts","Faulty ignition switch/stuck starter solenoid","Turn off immediately, disconnect battery, repair switch/solenoid"
"Vibration","Vibration felt in gearshift lever (manual)","Worn transmission mount/shifter bushings","Inspect mounts and bushings"
"Leaking Fluid","Washer fluid reservoir leaking","Cracked reservoir tank/loose hose connection","Inspect tank and hoses for source of leak"
"Warning Light","Adaptive cruise control unavailable","Sensor blocked/dirty/system fault","Clean radar/camera sensor area, scan system if persists"
"Strange Noise","Metal-on-metal grinding from wheel, gets worse","Completely worn brake pads/damaged rotor/wheel bearing failure","Stop driving immediately, requires urgent inspection/repair"
"Poor Fuel Economy","Using roof rack or cargo box","Increased aerodynamic drag (normal)","Remove rack/box when not in use for better MPG"
"AC/Heat Issues","Water dripping onto passenger floor","Clogged AC evaporator drain tube","Locate and clear drain tube"
"Electrical Issues","Automatic headlights stay on during day","Faulty light sensor/switch setting","Check sensor for blockage, verify switch position"
"Transmission Issues","Whine increases pitch with engine speed in Park/Neutral","Torque converter noise/front pump noise","Requires transmission diagnosis"
"Brake Issues","High-pitched squeal persists after new pads/rotors","Improper bedding procedure/wrong pad compound/hardware issue","Bed-in brakes properly, check pad material/hardware"
"Unusual Smell","Burnt popcorn smell (rare, electrical)","Specific type of electrical component failure","Careful inspection of wiring/modules needed"
"Loss of Power","Car feels like it's 'hitting rev limiter' too early","Sensor issue (MAF, MAP)/restricted exhaust/transmission issue","Scan for codes, check exhaust backpressure, check sensors"
"Car Won’t Start","Engine cranks very slowly, especially when cold","Weak battery/thick oil/starter issue","Test battery, use correct oil viscosity, test starter"
"Vibration","Resonance noise at specific speed (e.g., 65 mph)","Tire harmonic/driveshaft balance/exhaust resonance","Balance tires, check driveshaft, inspect exhaust system"
"Leaking Fluid","Coolant leak from radiator core","Radiator damage/corrosion","Replace radiator"
"Warning Light","Low tire pressure, but gauge shows OK","Faulty TPMS sensor/needs recalibration","Test/replace sensor, perform TPMS relearn procedure"
"Strange Noise","Clattering noise from top of engine","Low oil pressure/valve train issue (lifters, rockers)","Check oil level/pressure immediately, diagnose valve train"
"Overheating","Steam from exhaust pipe (white, continuous)","Head gasket failure allowing coolant into cylinders","Confirm with compression/leakdown test, requires repair"
"Steering Issues","Sudden loss of power steering assist","Broken serpentine belt/failed power steering pump","Check belt, check pump operation"
"Electrical Issues","One power window works intermittently","Faulty switch/motor overheating/binding mechanism","Test switch/motor, lubricate window tracks"
"Transmission Issues","Erratic shifting behavior","Low/dirty fluid/faulty sensor/TCM issue","Check fluid, scan TCM for codes"
"Brake Issues","Brake pedal pulsates only during hard braking","ABS system activating (normal on slippery surfaces)","No action needed unless happening on dry pavement"
"Unusual Smell","Sewage or swampy smell from vents","Bacteria growth in AC evaporator drain pan","Clean AC evaporator and drain pan area"
"Loss of Power","Engine performance drops significantly when hot","Heat soak issue/vapor lock/sensor failing when hot","Monitor sensor data when hot, check fuel pressure"
"Car Won’t Start","Key turns but nothing happens (no click, no crank)","Faulty ignition switch/neutral safety switch/starter relay/connection","Test circuit from ignition switch to starter"
"Vibration","Shimmy felt after hitting pothole","Bent wheel/damaged tire/alignment thrown off","Inspect wheel/tire for damage, get alignment checked"
"Leaking Fluid","Oil leak from front/rear crankshaft seal","Requires significant labor to replace seal","Confirm leak source, professional repair needed"
"Warning Light","Check Fuel Cap light/message","Loose/missing/faulty fuel cap","Tighten or replace fuel cap"
"Strange Noise","'Bubbling' or 'gurgling' sound from dashboard area","Air pocket in heater core","Bleed cooling system thoroughly"
